学校,专业,代码,招生院系,总分,政治,外语,专业课一,专业课二,录取年份
清华大学,哲学,01,不区分院系,355,48,55,100,100,2023
清华大学,金融,0251,不区分院系,369,50,50,90,80,2023
清华大学,应用统计,0252,不区分院系,405,60,60,125,115,2023
清华大学,经济学,02,不区分院系,355,60,60,90,90,2023
清华大学,法律（非法学）,035101,不区分院系,360,55,55,90,90,2023
清华大学,社会工作,0352,不区分院系,350,60,50,90,90,2023
清华大学,法学,03,不区分院系,345,55,55,90,90,2023
清华大学,体育学,0403,不区分院系,330,60,55,180,--,2023
清华大学,体育,0452,不区分院系,380,60,55,180,--,2023
清华大学,应用心理,0454,不区分院系,350,60,51,180,--,2023
清华大学,教育学（不含体育学）,04,不区分院系,350,60,60,180,--,2023
清华大学,新闻与传播,0552,不区分院系,363,75,55,81,110,2023
清华大学,文学,05,不区分院系,363,54,54,90,95,2023
清华大学,历史学,06,不区分院系,350,55,55,240,--,2023
清华大学,理学,07,不区分院系,375,60,60,120,120,2023
清华大学,建筑学,0851,不区分院系,305,40,45,70,90,2023
清华大学,城市规划,0853,不区分院系,325,50,50,80,70,2023
清华大学,电子信息,0854,不区分院系,325,50,50,80,70,2023
清华大学,机械,0855,不区分院系,325,50,50,80,70,2023
清华大学,材料与化工,0856,不区分院系,325,50,50,80,70,2023
清华大学,资源与环境,0857,不区分院系,325,50,50,80,70,2023
清华大学,能源动力,0858,不区分院系,325,50,50,80,70,2023
清华大学,土木水利,0859,不区分院系,325,50,50,80,70,2023
清华大学,工学（不含工学照顾专业）,08,不区分院系,325,50,50,80,70,2023
清华大学,风景园林,0953,不区分院系,300,33,40,70,80,2023
清华大学,临床医学,1051,不区分院系,320,45,45,180,--,2023
清华大学,公共卫生,1053,不区分院系,315,45,45,190,--,2023
清华大学,医学（不含中医类照顾专业）,10,不区分院系,300,45,50,180,--,2023
清华大学,工程管理,125601,不区分院系,178,44,--,88,--,2023
清华大学,物流工程与管理,125604,不区分院系,244,70,44,130,88,2023
清华大学,工商管理,1251,不区分院系,167,41,--,82,--,2023
清华大学,公共管理,1252,不区分院系,175,44,--,88,--,2023
清华大学,会计,1253,不区分院系,197,51,--,102,--,2023
清华大学,管理学,12,不区分院系,350,50,50,90,85,2023
清华大学,艺术,1351,不区分院系,362,45,45,80,100,2023
清华大学,艺术学,13,不区分院系,362,45,45,80,90,2023
清华大学,哲学,01,不区分院系,363,60,60,90,100,2024
清华大学,金融,0251,不区分院系,390,50,50,90,90,2024
清华大学,应用统计,0252,不区分院系,420,60,60,140,130,2024
清华大学,经济学,02,不区分院系,350,60,60,90,90,2024
清华大学,法律（非法学）,035101,法学院,357,55,55,90,90,2024
清华大学,社会工作,0352,不区分院系,331,47,50,80,85,2024
清华大学,法学,03,不区分院系,335,50,50,75,75,2024
清华大学,体育学,0403,不区分院系,315,60,55,180,--,2024
清华大学,体育,0452,不区分院系,358,60,60,180,--,2024
清华大学,应用心理,0454,不区分院系,375,55,55,180,--,2024
清华大学,教育学（不含体育学）,04,不区分院系,360,60,60,180,--,2024
清华大学,新闻与传播,0552,不区分院系,372,55,55,105,115,2024
清华大学,文学,05,不区分院系,365,55,55,100,100,2024
清华大学,历史学,06,不区分院系,345,60,60,210,--,2024
清华大学,理学,07,不区分院系,385,60,60,105,120,2024
清华大学,建筑,0851,不区分院系,350,50,50,90,90,2024
清华大学,城乡规划,0853,不区分院系,350,50,50,90,90,2024
清华大学,风景园林,0862,不区分院系,300,40,50,85,85,2024
清华大学,工学（不含工学照顾专业）,08,不区分院系,335,50,50,80,70,2024
清华大学,临床医学,1051,不区分院系,340,60,55,190,--,2024
清华大学,公共卫生,1053,不区分院系,304,45,45,155,--,2024
清华大学,医学（不含中医类照顾专业）,10,不区分院系,330,65,60,190,--,2024
清华大学,工程管理,125601,工业工程系,176,43,--,86,--,2024
清华大学,物流工程与管理,125604,清华大学深圳国际研究生院,247,70,--,140,--,2024
清华大学,医疗管理,1258S1,清华大学深圳国际研究生院,175,41,--,82,--,2024
清华大学,工商管理,1251,不区分院系,162,39,--,78,--,2024
清华大学,公共管理,1252,不区分院系,173,43,--,86,--,2024
清华大学,会计,1253,不区分院系,201,52,--,104,--,2024
清华大学,管理学,12,不区分院系,350,50,50,90,85,2024
清华大学,美术与书法,1356,不区分院系,362,45,45,80,100,2024
清华大学,设计,1357,不区分院系,362,45,45,80,100,2024
清华大学,艺术学,13,不区分院系,362,50,50,90,90,2024
清华大学,交叉学科,14,不区分院系,326,45,45,80,100,2024
清华大学,哲学,01,不区分院系,370,55,60,100,95,2025
清华大学,技术转移,0259S1,五道口金融学院,323,40,40,60,60,2025
清华大学,金融,0251,不区分院系,365,50,50,90,90,2025
清华大学,应用统计,0252,不区分院系,380,60,55,125,100,2025
清华大学,数字经济,0258,不区分院系,346,40,40,60,60,2025
清华大学,经济学,02,不区分院系,350,60,55,90,90,2025
清华大学,法律（非法学）,035101,法学院,343,55,55,90,90,2025
清华大学,法律（法学）,035102,法学院,340,55,55,90,90,2025
清华大学,社会工作,0352,不区分院系,323,45,50,80,80,2025
清华大学,法学,03,不区分院系,323,45,45,75,75,2025
清华大学,体育学,0403,不区分院系,328,55,55,200,--,2025
清华大学,体育,0452,不区分院系,368,55,55,230,--,2025
清华大学,应用心理,0454,不区分院系,341,45,45,180,--,2025
清华大学,教育学（不含体育学）,04,不区分院系,345,55,55,180,--,2025
清华大学,新闻与传播,0552,不区分院系,352,55,50,110,110,2025
清华大学,文学,05,不区分院系,351,50,50,100,100,2025
清华大学,历史学,06,不区分院系,340,50,50,180,--,2025
清华大学,理学,07,不区分院系,328,46,54,90,96,2025
清华大学,建筑,0851,不区分院系,310,45,50,85,90,2025
清华大学,城乡规划,0853,不区分院系,330,45,45,90,90,2025
清华大学,电子信息,0854,不区分院系,325,40,50,80,70,2025
清华大学,机械,0855,不区分院系,325,40,50,80,70,2025
清华大学,材料与化工,0856,不区分院系,325,40,50,80,70,2025
清华大学,资源与环境,0857,不区分院系,325,40,50,80,70,2025
清华大学,能源动力,0858,不区分院系,325,40,50,80,70,2025
清华大学,土木水利,0859,不区分院系,325,40,50,80,70,2025
清华大学,风景园林,0862,不区分院系,300,34,45,85,90,2025
清华大学,工学（不含工学照顾专业）,08,不区分院系,325,40,50,80,70,2025
清华大学,临床医学,1051,不区分院系,330,40,50,190,--,2025
清华大学,公共卫生,1053,不区分院系,294,40,40,180,--,2025
清华大学,医学（不含中医类照顾专业）,10,不区分院系,335,50,50,190,--,2025
清华大学,工程管理,125601,工业工程系,162,38,--,76,--,2025
清华大学,物流工程与管理,125604,清华大学深圳国际研究生院,237,70,--,140,--,2025
清华大学,医疗管理,1258S1,清华大学深圳国际研究生院,182,38,--,76,--,2025
清华大学,全球领导力,1259S1,苏世民书院,246,78,--,163,--,2025
清华大学,工商管理,1251,不区分院系,151,35,--,70,--,2025
清华大学,公共管理,1252,不区分院系,164,38,--,76,--,2025
清华大学,会计,1253,不区分院系,194,48,--,96,--,2025
清华大学,管理学,12,不区分院系,345,46,50,90,80,2025
清华大学,美术与书法,1356,不区分院系,351,40,45,80,100,2025
清华大学,设计,1357,不区分院系,351,40,45,80,100,2025
清华大学,艺术学,13,不区分院系,351,40,45,90,90,2025
清华大学,交叉学科,14,不区分院系,280,40,45,80,100,2025
清华大学,哲学,01,不区分院系,360,50,60,100,95,2026
清华大学,技术转移,0259S1,五道口金融学院,324,40,40,60,60,2026
清华大学,金融,0251,不区分院系,380,50,50,90,90,2026
清华大学,应用统计,0252,不区分院系,324,40,40,60,60,2026
清华大学,数字经济,0258,不区分院系,324,40,40,60,60,2026
清华大学,经济学,02,不区分院系,390,60,60,90,90,2026
清华大学,法律（非法学）,035101,法学院,343,55,55,90,90,2026
清华大学,法律（法学）,035102,法学院,362,55,55,90,90,2026
清华大学,法学,03,不区分院系,330,55,55,90,90,2026
清华大学,体育学,0403,不区分院系,360,60,55,230,--,2026
清华大学,体育,0452,不区分院系,385,60,55,230,--,2026
清华大学,应用心理,0454,不区分院系,395,60,50,240,--,2026
清华大学,教育学,04,不区分院系,375,60,60,180,--,2026
清华大学,新闻与传播,0552,不区分院系,355,55,55,105,105,2026
清华大学,文学,05,不区分院系,365,60,50,100,100,2026
清华大学,历史学,06,不区分院系,345,50,55,200,--,2026
清华大学,理学,07,不区分院系,345,55,50,90,95,2026
清华大学,建筑,0851,不区分院系,330,50,50,80,70,2026
清华大学,城乡规划,0853,不区分院系,330,50,50,80,70,2026
清华大学,电子信息,0854,不区分院系,330,50,50,80,70,2026
清华大学,机械,0855,不区分院系,330,50,50,80,70,2026
清华大学,材料与化工,0856,不区分院系,330,50,50,80,70,2026
清华大学,资源与环境,0857,不区分院系,330,50,50,80,70,2026
清华大学,能源动力,0858,不区分院系,330,50,50,80,70,2026
清华大学,土木水利,0859,不区分院系,330,50,50,80,70,2026
清华大学,生物与医药,0860,不区分院系,330,50,50,80,70,2026
清华大学,风景园林,0862,不区分院系,330,45,50,80,80,2026
清华大学,工学（不含工学照顾专业）,08,不区分院系,330,50,50,80,70,2026
清华大学,临床医学,1051,不区分院系,355,50,50,200,--,2026
清华大学,公共卫生,1053,不区分院系,295,40,40,180,--,2026
清华大学,医学,10,不区分院系,380,50,50,200,--,2026
清华大学,工程管理,125601,工业工程系,166,39,--,78,--,2026
清华大学,工业工程与管理,125603,工业工程系,258,70,--,140,--,2026
清华大学,物流工程与管理,125604,清华大学深圳国际研究生院,258,70,--,140,--,2026
清华大学,医疗管理,1258S1,医疗管理学院,332,41,41,62,62,2026
清华大学,医疗管理,1258S1,清华大学深圳国际研究生院,332,41,41,62,62,2026
清华大学,工商管理,1251,不区分院系,146,35,--,70,--,2026
清华大学,公共管理,1252,不区分院系,168,40,--,78,--,2026
清华大学,会计,1253,不区分院系,199,51,--,102,--,2026
清华大学,管理学,12,不区分院系,340,50,50,85,80,2026
清华大学,美术与书法,1356,不区分院系,355,40,45,80,100,2026
清华大学,设计,1357,不区分院系,354,40,45,80,100,2026
清华大学,艺术学,13,不区分院系,379,40,45,90,90,2026
清华大学,交叉学科,14,不区分院系,320,40,45,80,100,2026
